0,0
1,6
2,0
3,-6
4,2
5,0
6,0
7,0
8,0
9,-2
10,7
11,0
12,0
13,0
14,0
15,-7
16,15
17,0
18,0
19,0
20,-15
21,0
22,0
23,25
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,8
36,0
37,0
38,-8
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,11
62,0
63,0
64,20
65,0
66,0
67,0
68,-11
69,3
70,-20
71,0
72,0
73,0
74,-3
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,22
83,0
84,0
85,-22
86,0
87,0
88,0
89,0
90,3
91,-3
92,0
93,0
94,5
95,0
96,0
97,-5
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,1
107,-1
108,0
109,0
110,0
111,0
112,0
113,0
114,2
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,-2
128,0
129,0
130,0
131,0
132,0
133,15
134,0
135,0
136,0
137,0
138,0
139,-15
140,0
141,0
142,0
143,0
144,0
145,0
146,3
147,0
148,0
149,0
150,0
151,0
152,0
153,-3
154,0
155,-25
156,0
157,0
158,0
159,0
